"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.13","54.210.90.84","TCP","78","62387  >  5201 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=2935393052 TSecr=0 SACK_PERM=1"
"2","0.022937","54.210.90.84","192.168.0.13","TCP","74","5201  >  62387 [SYN, ACK] Seq=0 Ack=1 Win=26847 Len=0 MSS=1460 SACK_PERM=1 TSval=195578463 TSecr=2935393052 WS=128"
"3","0.022986","192.168.0.13","54.210.90.84","TCP","66","62387  >  5201 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=2935393075 TSecr=195578463"
"4","0.023027","192.168.0.13","54.210.90.84","TCP","103","62387  >  5201 [PSH, ACK] Seq=1 Ack=1 Win=131744 Len=37 TSval=2935393075 TSecr=195578463"
"5","0.049747","54.210.90.84","192.168.0.13","TCP","66","5201  >  62387 [ACK] Seq=1 Ack=38 Win=26880 Len=0 TSval=195578490 TSecr=2935393075"
"6","0.049749","54.210.90.84","192.168.0.13","TCP","66","[TCP Dup ACK 5#1] 5201  >  62387 [ACK] Seq=1 Ack=38 Win=26880 Len=0 TSval=195578490 TSecr=2935393075"
"7","0.051651","54.210.90.84","192.168.0.13","TCP","1514","5201  >  62387 [ACK] Seq=1 Ack=38 Win=26880 Len=1448 TSval=195578491 TSecr=2935393075"
"8","0.051654","54.210.90.84","192.168.0.13","TCP","1514","5201  >  62387 [ACK] Seq=1449 Ack=38 Win=26880 Len=1448 TSval=195578491 TSecr=2935393075"
"9","0.051657","54.210.90.84","192.168.0.13","TCP","1514","5201  >  62387 [ACK] Seq=2897 Ack=38 Win=26880 Len=1448 TSval=195578491 TSecr=2935393075"
"10","0.051660","54.210.90.84","192.168.0.13","TCP","1514","5201  >  62387 [ACK] Seq=4345 Ack=38 Win=26880 Len=1448 TSval=195578491 TSecr=2935393075"
"11","0.051696","192.168.0.13","54.210.90.84","TCP","66","62387  >  5201 [ACK] Seq=38 Ack=2897 Win=128864 Len=0 TSval=2935393102 TSecr=195578491"
"12","0.051713","192.168.0.13","54.210.90.84","TCP","66","62387  >  5201 [ACK] Seq=38 Ack=5793 Win=125952 Len=0 TSval=2935393102 TSecr=195578491"
"13","0.051717","54.210.90.84","192.168.0.13","TCP","1514","5201  >  62387 [ACK] Seq=5793 Ack=38 Win=26880 Len=1448 TSval=195578491 TSecr=2935393075"
"14","0.051877","54.210.90.84","192.168.0.13","TCP","1514","5201  >  62387 [ACK] Seq=7241 Ack=38 Win=26880 Len=1448 TSval=195578491 TSecr=2935393075"
"15","0.051882","54.210.90.84","192.168.0.13","TCP","1514","5201  >  62387 [ACK] Seq=8689 Ack=38 Win=26880 Len=1448 TSval=195578491 TSecr=2935393075"
"16","0.051905","192.168.0.13","54.210.90.84","TCP","66","62387  >  5201 [ACK] Seq=38 Ack=8689 Win=123072 Len=0 TSval=2935393102 TSecr=195578491"
"17","0.051927","54.210.90.84","192.168.0.13","TCP","1514","5201  >  62387 [ACK] Seq=10137 Ack=38 Win=26880 Len=1448 TSval=195578491 TSecr=2935393075"
"18","0.051934","192.168.0.13","54.210.90.84","TCP","66","62387  >  5201 [ACK] Seq=38 Ack=11585 Win=120160 Len=0 TSval=2935393102 TSecr=195578491"
"19","0.053067","54.210.90.84","192.168.0.13","TCP","1514","5201  >  62387 [ACK] Seq=11585 Ack=38 Win=26880 Len=1448 TSval=195578491 TSecr=2935393075"
"20","0.053070","54.210.90.84","192.168.0.13","TCP","1514","5201  >  62387 [ACK] Seq=13033 Ack=38 Win=26880 Len=1448 TSval=195578491 TSecr=2935393075"
"21","0.053087","192.168.0.13","54.210.90.84","TCP","66","62387  >  5201 [ACK] Seq=38 Ack=14481 Win=117280 Len=0 TSval=2935393104 TSecr=195578491"
"22","0.080764","192.168.0.13","54.210.90.84","TCP","66","[TCP Window Update] 62387  >  5201 [ACK] Seq=38 Ack=14481 Win=131072 Len=0 TSval=2935393131 TSecr=195578491"
