N,B,T,Packet latency (ms),R,k,n,Frame latency (ms),Bandwidth increase (%),Loss rate (%)
9,9,41,40,0.7762280169799879,1280,1649,140.0,60.078125000000014,4.0549739291058735
9,10,41,40,0.757396449704142,1280,1690,140.0,63.28125,3.2353336606808827
9,11,41,40,0.7394569612940497,1280,1731,140.0,66.484375,5.280642068836514
9,12,41,40,0.7223476297968398,1280,1772,140.0,69.6875,2.2322180134680134
9,13,41,40,0.7060121345835632,1280,1813,140.0,72.890625,3.191887041713431
9,14,41,40,0.6903991370010788,1280,1854,140.0,76.09375,7.537381921062476
9,15,41,40,0.6754617414248021,1280,1895,140.0,79.296875,5.596254793303404
9,16,41,40,0.6611570247933884,1280,1936,140.0,82.5,3.260440048634493
9,17,41,40,0.6474456246838645,1280,1977,140.0,85.703125,3.83423353909465
9,18,41,40,0.6342913776015857,1280,2018,140.0,88.90625,8.0528958567153
9,19,41,40,0.6216610004856726,1280,2059,140.0,92.109375,5.121498550317995
10,10,41,40,0.7515151515151515,1240,1650,140.0,65.32258064515625,2.2899243329350853
10,11,41,40,0.7332939089296274,1240,1691,140.0,68.62903225806174,1.8777832084283697
10,12,41,40,0.7159353348729792,1240,1732,140.0,71.93548387096938,2.6452699033344196
10,13,41,40,0.6993795826283136,1240,1773,140.0,75.24193548387491,3.525080554650447
10,14,41,40,0.6835722160970231,1240,1814,140.0,78.54838709678286,4.6528607460507105
10,15,41,40,0.6684636118598383,1240,1855,140.0,81.8548387096823,3.5846819448969987
10,16,41,40,0.6540084388185654,1240,1896,140.0,85.16129032258914,5.702243462100093
10,17,41,40,0.6401652039235932,1240,1937,140.0,88.46774193547179,4.003128658146579
10,18,41,40,0.6268958543983822,1240,1978,140.0,91.77419354837916,2.68630148558464
10,19,41,40,0.6141654284299158,1240,2019,140.0,95.08064516128486,1.4640128887440715
11,11,41,40,0.7268322228952151,1200,1651,140.0,70.91666666666997,3.484661429105874
11,12,41,40,0.7092198581560284,1200,1692,140.0,74.33333333332929,2.3923805960843
11,13,41,40,0.6924408540103866,1200,1733,140.0,77.75,3.018845866068088
11,14,41,40,0.6764374295377678,1200,1774,140.0,81.166666666672,2.212464147649333
11,15,41,40,0.6611570247933884,1200,1815,140.0,84.58333333332743,3.205433969322858
11,16,41,40,0.646551724137931,1200,1856,140.0,88.0,2.5054246165357275
11,17,41,40,0.632577754348972,1200,1898,140.0,91.5,2.201926674148896
11,18,41,40,0.6191950464396285,1200,1938,140.0,94.83333333332597,1.591158498565906
11,19,41,40,0.6063668519454269,1200,1980,140.0,98.33333333332568,5.419628382591346
