K_min,Rate,Delay,Packet latency (ms),Latency (ms),Bandwidth increase (%),Loss rate (%)
50,0.6,100,50,56.156153535358776,112.58382140735623,0.0
50,0.65,100,50,56.13986262626787,112.04906204906737,0.0
50,0.7,100,50,56.168824242429444,112.99974535269197,0.0
50,0.75,100,50,56.162941414146644,112.80663780664338,0.0
50,0.8,100,50,56.14755555556079,112.30158730159276,0.0
50,0.85,100,50,56.15660606061128,112.59867583397545,0.0
50,0.9,100,50,56.14303030303555,112.15304303540155,0.0
50,0.95,100,50,56.152985858591116,112.47984042102229,0.0
50,1.0,100,50,56.15027070707597,112.39071386130743,0.0
100,0.6,100,50,72.88250421399475,64.27915518824716,0.0
100,0.65,100,50,72.89879512308565,64.56135635736635,0.0
100,0.7,100,50,72.8779789614695,64.20076597460297,0.0
100,0.75,100,50,72.86078300187356,63.902886962755,0.0
100,0.8,100,50,72.90784562813614,64.71813478465471,0.0
100,0.85,100,50,72.8834092644998,64.29483303097601,0.0
100,0.9,100,50,72.89336482005533,64.46728930099324,0.0
100,0.95,100,50,72.92232643621702,64.96898026831632,0.0
100,1.0,100,50,72.87888401197455,64.21644381733182,0.0
150,0.6,100,50,72.85987795136847,63.887209120026085,0.0
150,0.65,100,50,72.88612441601495,64.34186655916257,0.0
150,0.7,100,50,72.86711835540886,64.01263186185683,0.0
150,0.75,100,50,72.89970017359069,64.57703420009523,0.0
150,0.8,100,50,72.89245976955029,64.45161145826447,0.0
150,0.85,100,50,72.8815991634897,64.2634773455183,0.0
150,0.9,100,50,72.88612441601494,64.34186655916248,0.0
150,0.95,100,50,72.87073855742908,64.07534323277221,0.0
150,1.0,100,50,72.86892845641898,64.04398754731456,0.0
200,0.6,100,50,89.34958356129073,46.66164658634362,0.0
200,0.65,100,50,89.3794502279574,47.01305220883357,0.0
200,0.7,100,50,89.39845628856332,47.236673968599966,0.0
200,0.75,100,50,89.40117144007857,47.26861993428082,0.0
200,0.8,100,50,89.38080780371499,47.029025191674016,0.0
200,0.85,100,50,89.38216537947248,47.044998174514504,0.0
200,0.9,100,50,89.39709871280587,47.22070098575944,0.0
200,0.95,100,50,89.390310834018,47.14083607155719,0.0
200,1.0,100,50,89.3699471976544,46.90124132895039,0.0
250,0.6,100,50,89.3441532582604,46.597754654981806,0.0
250,0.65,100,50,89.38623810674522,47.09291712303586,0.0
250,0.7,100,50,89.42289265219983,47.52418765972806,0.0
250,0.75,100,50,89.345510834018,46.61372763782228,0.0
250,0.8,100,50,89.34822598553312,46.64567360350317,0.0
