"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.13","52.71.251.84","TCP","78","62388  >  5201 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=2935393595 TSecr=0 SACK_PERM=1"
"2","0.028477","52.71.251.84","192.168.0.13","TCP","74","5201  >  62388 [SYN, ACK] Seq=0 Ack=1 Win=26847 Len=0 MSS=1460 SACK_PERM=1 TSval=254569686 TSecr=2935393595 WS=128"
"3","0.028502","192.168.0.13","52.71.251.84","TCP","66","62388  >  5201 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=2935393618 TSecr=254569686"
"4","0.028540","192.168.0.13","52.71.251.84","TCP","103","62388  >  5201 [PSH, ACK] Seq=1 Ack=1 Win=131744 Len=37 TSval=2935393618 TSecr=254569686"
"5","0.061093","52.71.251.84","192.168.0.13","TCP","66","5201  >  62388 [ACK] Seq=1 Ack=38 Win=26880 Len=0 TSval=254569719 TSecr=2935393618"
"6","0.069179","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1 Ack=38 Win=26880 Len=1448 TSval=254569720 TSecr=2935393618"
"7","0.069183","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1449 Ack=38 Win=26880 Len=1448 TSval=254569720 TSecr=2935393618"
"8","0.069185","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=2897 Ack=38 Win=26880 Len=1448 TSval=254569720 TSecr=2935393618"
"9","0.069214","192.168.0.13","52.71.251.84","TCP","66","62388  >  5201 [ACK] Seq=38 Ack=2897 Win=128864 Len=0 TSval=2935393653 TSecr=254569720"
"10","0.069306","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=4345 Ack=38 Win=26880 Len=1448 TSval=254569720 TSecr=2935393618"
"11","0.069309","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=5793 Ack=38 Win=26880 Len=1448 TSval=254569720 TSecr=2935393618"
