"No.","Delta","Time","Source","Destination","Protocol","CumBytes","Length","Info"
"1","0.000000","0.000000","128.237.113.226","54.210.90.84","TCP","78","78","62388  >  5201 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=2940919608 TSecr=0 SACK_PERM=1"
"2","0.056039","0.056039","54.210.90.84","128.237.113.226","TCP","152","74","5201  >  62388 [SYN, ACK] Seq=0 Ack=1 Win=26847 Len=0 MSS=1386 SACK_PERM=1 TSval=528800251 TSecr=2940919608 WS=128"
"3","0.000061","0.056100","128.237.113.226","54.210.90.84","TCP","218","66","62388  >  5201 [ACK] Seq=1 Ack=1 Win=131904 Len=0 TSval=2940919662 TSecr=528800251"
"4","0.000027","0.056127","128.237.113.226","54.210.90.84","TCP","321","103","62388  >  5201 [PSH, ACK] Seq=1 Ack=1 Win=131904 Len=37 TSval=2940919662 TSecr=528800251"
"5","0.048534","0.104661","54.210.90.84","128.237.113.226","TCP","387","66","5201  >  62388 [ACK] Seq=1 Ack=38 Win=26880 Len=0 TSval=528800307 TSecr=2940919662"
"6","0.011139","0.115800","54.210.90.84","128.237.113.226","TCP","1827","1440","5201  >  62388 [ACK] Seq=1 Ack=38 Win=26880 Len=1374 TSval=528800308 TSecr=2940919662"
"7","0.000007","0.115807","54.210.90.84","128.237.113.226","TCP","3267","1440","5201  >  62388 [ACK] Seq=1375 Ack=38 Win=26880 Len=1374 TSval=528800308 TSecr=2940919662"
"8","0.000019","0.115826","54.210.90.84","128.237.113.226","TCP","4707","1440","5201  >  62388 [ACK] Seq=2749 Ack=38 Win=26880 Len=1374 TSval=528800308 TSecr=2940919662"
"9","0.000005","0.115831","54.210.90.84","128.237.113.226","TCP","6147","1440","5201  >  62388 [ACK] Seq=4123 Ack=38 Win=26880 Len=1374 TSval=528800308 TSecr=2940919662"
"10","0.000005","0.115836","54.210.90.84","128.237.113.226","TCP","7587","1440","5201  >  62388 [ACK] Seq=5497 Ack=38 Win=26880 Len=1374 TSval=528800308 TSecr=2940919662"
"11","0.000005","0.115841","54.210.90.84","128.237.113.226","TCP","9027","1440","5201  >  62388 [ACK] Seq=6871 Ack=38 Win=26880 Len=1374 TSval=528800308 TSecr=2940919662"
"12","0.000005","0.115846","54.210.90.84","128.237.113.226","TCP","10467","1440","5201  >  62388 [ACK] Seq=8245 Ack=38 Win=26880 Len=1374 TSval=528800308 TSecr=2940919662"
"13","0.000006","0.115852","54.210.90.84","128.237.113.226","TCP","11907","1440","5201  >  62388 [ACK] Seq=9619 Ack=38 Win=26880 Len=1374 TSval=528800308 TSecr=2940919662"
"14","0.000012","0.115864","54.210.90.84","128.237.113.226","TCP","13347","1440","5201  >  62388 [ACK] Seq=10993 Ack=38 Win=26880 Len=1374 TSval=528800308 TSecr=2940919662"
"15","0.000005","0.115869","54.210.90.84","128.237.113.226","TCP","14787","1440","5201  >  62388 [ACK] Seq=12367 Ack=38 Win=26880 Len=1374 TSval=528800308 TSecr=2940919662"
"16","0.000583","0.116452","128.237.113.226","54.210.90.84","TCP","14853","66","62388  >  5201 [ACK] Seq=38 Ack=2749 Win=129152 Len=0 TSval=2940919717 TSecr=528800308"
